epoch,accuracy,auprc,auroc,fn,fp,loss,precision,recall,tn,tp,val_accuracy,val_auprc,val_auroc,val_fn,val_fp,val_loss,val_precision,val_recall,val_tn,val_tp
0,0.873524010181427,0.13173577189445496,0.6099211573600769,4062.0,2129.0,0.42340612411499023,0.16345776617527008,0.09289861470460892,42343.0,416.0,0.8771607279777527,0.21851210296154022,0.733917236328125,197.0,137.0,0.36934956908226013,0.29015544056892395,0.22134387493133545,2329.0,56.0
1,0.9057610034942627,0.24128258228302002,0.7394235730171204,4145.0,468.0,0.2824406027793884,0.4157303273677826,0.07436355203390121,44004.0,333.0,0.906583309173584,0.25570276379585266,0.7941226363182068,252.0,2.0,0.2721736431121826,0.3333333432674408,0.003952569328248501,2464.0,1.0
2,0.9070684313774109,0.28730612993240356,0.7902333736419678,4128.0,421.0,0.2652182877063751,0.45395588874816895,0.0781598910689354,44051.0,350.0,0.9014343619346619,0.29423290491104126,0.8225999474525452,226.0,42.0,0.25419244170188904,0.3913043439388275,0.10671936720609665,2424.0,27.0
3,0.9086210131645203,0.31826886534690857,0.8126936554908752,4063.0,410.0,0.2532246708869934,0.5030303001403809,0.09267529845237732,44062.0,415.0,0.906583309173584,0.3175080418586731,0.8294553756713867,251.0,3.0,0.250888854265213,0.4000000059604645,0.007905138656497002,2463.0,2.0
4,0.910909116268158,0.35553085803985596,0.8318329453468323,3949.0,412.0,0.24234022200107574,0.5621678829193115,0.11813309788703918,44060.0,529.0,0.9036410450935364,0.3517182767391205,0.8318988084793091,187.0,75.0,0.25748908519744873,0.4680851101875305,0.260869562625885,2391.0,66.0
5,0.9102349281311035,0.37665045261383057,0.8455437421798706,3926.0,468.0,0.23446495831012726,0.5411764979362488,0.12326931953430176,44004.0,552.0,0.9054799675941467,0.3449103534221649,0.842379629611969,228.0,29.0,0.24117809534072876,0.46296295523643494,0.0988142266869545,2437.0,25.0
6,0.9140551686286926,0.41389432549476624,0.8571513295173645,3727.0,480.0,0.22685553133487701,0.6100730895996094,0.16770879924297333,43992.0,751.0,0.9058477282524109,0.3511207699775696,0.840928316116333,241.0,15.0,0.2424495965242386,0.4444444477558136,0.04743082821369171,2451.0,12.0
7,0.9149744510650635,0.4415205717086792,0.8686242699623108,3679.0,483.0,0.2197747677564621,0.6232449412345886,0.17842787504196167,43989.0,799.0,0.9043766260147095,0.34846773743629456,0.8428460955619812,237.0,23.0,0.2450632005929947,0.41025641560554504,0.06324110925197601,2443.0,16.0
8,0.916996955871582,0.4663930833339691,0.8751351833343506,3555.0,508.0,0.21501126885414124,0.6450034976005554,0.20611880719661713,43964.0,923.0,0.8999632000923157,0.3668779730796814,0.8411864638328552,193.0,79.0,0.2534366846084595,0.4316546618938446,0.23715415596961975,2387.0,60.0
9,0.9190806746482849,0.4957751929759979,0.8835293650627136,3354.0,607.0,0.2086086869239807,0.6493356227874756,0.2510049045085907,43865.0,1124.0,0.910996675491333,0.39190584421157837,0.8494713306427002,217.0,25.0,0.23736988008022308,0.5901639461517334,0.14229248464107513,2441.0,36.0
